index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,01/03/2015,0,0,0,0,0,0
558468,27,7,29/12/2013,0,0,0,0,0,0
76950,404,3,19/03/2014,657,1,1,0,0,5928
77556,683,2,29/01/2013,862,1,0,0,0,7858
456344,920,3,19/03/2014,591,1,1,0,0,5867
436466,758,4,26/06/2014,569,1,0,0,0,4277
646251,563,1,16/02/2015,321,1,1,0,0,3768
650464,930,6,22/11/2014,1367,1,0,0,0,7359
162710,756,4,04/06/2015,0,0,1,a,0,0
100327,49,2,13/01/2015,546,1,1,0,0,8723
374540,787,4,23/07/2015,968,1,0,0,1,8198
399143,782,4,19/09/2013,472,1,0,0,0,4753
44740,897,7,20/04/2014,0,0,0,0,0,0
674144,933,1,09/12/2013,965,1,0,0,0,8160
81595,218,2,07/04/2015,804,1,0,0,1,6155
416724,554,3,09/10/2013,499,1,1,0,1,4737
632687,362,1,12/08/2013,1337,1,1,0,1,11822
351899,655,3,09/04/2014,560,1,0,0,0,5520
515940,785,3,31/12/2014,461,1,0,0,1,4864
567411,690,3,19/03/2014,866,1,1,0,0,7868
274598,1103,7,15/02/2015,0,0,0,0,0,0
417880,431,1,02/06/2014,1367,1,1,0,0,15475
453710,127,2,24/09/2013,642,1,1,0,0,7339
597622,579,5,29/03/2013,0,0,1,b,1,0
223346,248,6,03/08/2013,1139,1,0,0,0,7985
630018,962,6,11/01/2014,0,0,0,0,0,0
355860,224,2,26/03/2013,515,1,1,0,1,6611
360080,208,3,19/06/2013,355,1,1,0,1,2801
129544,401,1,30/03/2015,1063,1,1,0,0,11178
422545,503,7,29/09/2013,0,0,0,0,0,0
174199,221,4,05/03/2015,562,1,1,0,0,5713
118613,268,7,02/11/2014,0,0,0,0,0,0
60310,799,2,27/08/2013,927,1,1,0,1,10355
328458,260,6,25/10/2014,894,1,0,0,0,6436
200661,1041,2,10/03/2015,594,1,0,0,0,5134
179581,350,2,18/06/2013,533,1,1,0,0,7645
587612,286,7,05/04/2015,0,0,0,0,0,0
320169,620,2,04/06/2013,709,1,1,0,0,7943
37194,521,1,17/06/2013,484,1,1,0,0,6276
685427,649,4,27/11/2014,435,1,1,0,0,4264
125422,1059,2,02/06/2015,1239,1,1,0,0,10683
24499,486,6,28/06/2014,373,1,0,0,0,3089
281806,252,4,17/10/2013,642,1,0,0,0,7845
540511,656,3,15/05/2013,421,1,1,0,0,3653
28689,642,5,12/09/2014,394,1,0,0,0,2693
165066,655,5,08/05/2015,761,1,1,0,0,8578
555963,992,3,26/06/2013,627,1,0,0,0,5035
610614,143,2,02/06/2015,731,1,1,0,0,8465
64013,421,5,18/07/2014,941,1,1,0,1,9569
30639,246,4,02/10/2014,1157,1,1,0,0,9205
418604,960,1,28/04/2014,720,1,1,0,0,8035
468037,313,5,17/01/2014,697,1,0,0,0,6577
271589,291,6,29/06/2013,534,1,0,0,0,4706
77924,924,6,31/05/2014,333,1,0,0,0,3177
247149,337,2,13/08/2013,430,1,1,0,1,5967
576822,1024,4,12/03/2015,607,1,0,0,0,4467
108538,56,3,22/01/2014,402,1,1,0,0,6349
645670,507,3,09/04/2014,532,1,0,0,0,5724
601663,970,5,15/03/2013,406,1,0,0,0,3151
502588,846,2,23/06/2015,828,1,0,0,0,7632
66732,549,3,27/08/2014,582,1,0,0,0,4600
627113,1095,4,28/03/2013,852,1,1,0,1,7391
691184,859,5,12/04/2013,709,1,1,0,0,6958
467913,914,2,29/07/2014,1178,1,1,0,1,10305
304890,888,2,23/06/2015,634,1,0,0,0,6088
274018,442,2,04/11/2014,517,1,1,0,0,5722
644430,34,6,09/03/2013,905,1,0,0,0,7017
669009,199,4,10/07/2014,581,1,0,0,0,6133
518722,854,4,04/06/2015,657,1,1,a,0,6334
505976,611,2,21/01/2014,485,1,1,0,0,5639
291572,808,4,09/04/2015,528,1,0,0,1,5446
39071,1105,4,22/01/2015,410,1,0,0,0,4114
319154,866,5,24/04/2015,445,1,0,0,0,6287
166603,222,6,28/09/2013,367,1,0,0,0,3076
428262,476,2,24/09/2013,753,1,1,0,0,6733
20314,800,1,26/05/2014,494,1,0,0,0,4616
603091,330,1,24/03/2014,408,1,0,0,0,3806
500421,507,3,07/01/2015,648,1,1,0,0,8011
388016,98,7,02/06/2013,0,0,0,0,0,0
268257,1026,2,28/01/2014,1044,1,0,0,0,7248
216326,990,5,04/10/2013,719,1,0,0,0,5891
40755,8,6,10/01/2015,345,1,0,0,0,3148
8654,611,3,31/07/2013,566,1,1,0,1,6534
37301,257,2,13/08/2013,777,1,1,0,0,7426
485623,840,4,16/04/2015,1189,1,1,0,0,8768
214073,848,5,31/07/2015,998,1,1,0,1,9359
406145,124,6,12/07/2014,297,1,0,0,0,2508
397642,1028,2,31/12/2013,438,1,0,0,1,3549
273960,95,2,24/09/2013,1099,1,1,0,0,9705
12104,208,1,28/10/2013,323,1,0,0,0,2079
361202,249,2,08/07/2014,449,1,0,0,0,3775
79347,887,3,20/03/2013,614,1,1,0,0,7439
462803,73,1,28/04/2014,601,1,1,0,1,5941
141713,13,4,02/04/2015,501,1,1,0,1,5761
703618,1049,2,03/09/2013,580,1,0,0,1,3565
308360,144,4,05/02/2015,769,1,1,0,0,8759
317995,847,3,14/08/2013,1018,1,1,0,1,7968
364408,796,3,08/05/2013,717,1,0,0,0,7018
27886,396,4,11/06/2015,1139,1,0,0,0,9347
706814,1080,7,15/09/2013,0,0,0,0,0,0
514516,675,5,26/09/2014,338,1,0,0,0,2926
